epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150,1.73,2.41,1.86,0.30,0.32,0.22,0.10,1.62,2.24,1.96,0.0030,0.0030,0.0030
2,295,1.69,2.30,1.83,0.32,0.34,0.24,0.11,1.60,2.15,1.94,0.00295,0.00295,0.00295
3,438,1.66,2.20,1.80,0.34,0.36,0.26,0.12,1.58,2.05,1.92,0.0029,0.0029,0.0029
4,579,1.63,2.10,1.77,0.36,0.38,0.29,0.14,1.56,1.95,1.90,0.00285,0.00285,0.00285
5,728,1.60,2.00,1.75,0.38,0.40,0.32,0.16,1.54,1.85,1.88,0.0028,0.0028,0.0028
6,868,1.57,1.92,1.73,0.40,0.42,0.35,0.18,1.52,1.78,1.86,0.00275,0.00275,0.00275
7,1010,1.54,1.85,1.71,0.42,0.44,0.38,0.20,1.50,1.70,1.84,0.0027,0.0027,0.0027
8,1151,1.51,1.78,1.69,0.44,0.46,0.41,0.22,1.48,1.63,1.82,0.00265,0.00265,0.00265
9,1295,1.48,1.72,1.67,0.46,0.48,0.44,0.24,1.46,1.56,1.80,0.0026,0.0026,0.0026
10,1439,1.45,1.66,1.65,0.48,0.50,0.47,0.27,1.44,1.50,1.78,0.00255,0.00255,0.00255
11,1578,1.42,1.61,1.63,0.50,0.52,0.50,0.30,1.42,1.45,1.76,0.0025,0.0025,0.0025
12,1719,1.39,1.56,1.61,0.52,0.54,0.53,0.33,1.40,1.40,1.74,0.00245,0.00245,0.00245
13,1859,1.36,1.51,1.59,0.54,0.56,0.56,0.36,1.38,1.35,1.72,0.0024,0.0024,0.0024
14,2001,1.34,1.46,1.58,0.56,0.58,0.59,0.39,1.36,1.30,1.70,0.00235,0.00235,0.00235
15,2141,1.32,1.42,1.56,0.58,0.60,0.62,0.42,1.34,1.25,1.68,0.0023,0.0023,0.0023
16,2287,1.30,1.38,1.54,0.60,0.62,0.65,0.45,1.32,1.20,1.66,0.00225,0.00225,0.00225
17,2428,1.28,1.34,1.52,0.62,0.64,0.68,0.48,1.30,1.15,1.64,0.0022,0.0022,0.0022
18,2584,1.26,1.30,1.50,0.64,0.66,0.71,0.50,1.28,1.10,1.62,0.00215,0.00215,0.00215
19,2726,1.24,1.26,1.48,0.66,0.68,0.74,0.52,1.26,1.05,1.60,0.0021,0.0021,0.0021
20,2872,1.22,1.22,1.47,0.68,0.70,0.76,0.53,1.24,1.00,1.58,0.00205,0.00205,0.00205
21,3012,1.21,1.20,1.46,0.70,0.71,0.78,0.54,1.22,0.95,1.56,0.0020,0.0020,0.0020
22,3153,1.20,1.18,1.45,0.72,0.72,0.79,0.545,1.20,0.90,1.54,0.00195,0.00195,0.00195
23,3295,1.19,1.16,1.44,0.73,0.73,0.795,0.548,1.18,0.88,1.52,0.00192,0.00192,0.00192
24,3436,1.18,1.14,1.43,0.74,0.74,0.800,0.550,1.16,0.86,1.50,0.0019,0.0019,0.0019
25,3578,1.17,1.12,1.42,0.75,0.745,0.804,0.552,1.14,0.85,1.48,0.00188,0.00188,0.00188
26,3720,1.16,1.10,1.41,0.76,0.747,0.806,0.553,1.12,0.84,1.46,0.00186,0.00186,0.00186
27,3862,1.15,1.09,1.40,0.77,0.748,0.808,0.554,1.10,0.83,1.44,0.00184,0.00184,0.00184
28,4005,1.14,1.08,1.40,0.775,0.749,0.809,0.555,1.08,0.832,1.43,0.00182,0.00182,0.00182
29,4147,1.13,1.07,1.39,0.777,0.7495,0.810,0.556,1.06,0.832,1.42,0.0018,0.0018,0.0018
30,4290,1.12,1.065,1.39,0.778,0.7496,0.8105,0.557,1.04,0.832,1.41,0.00178,0.00178,0.00178
31,4432,1.115,1.06,1.388,0.779,0.7497,0.8108,0.558,1.03,0.832,1.40,0.00176,0.00176,0.00176
32,4575,1.114,1.058,1.387,0.7795,0.7498,0.8109,0.559,1.02,0.8318,1.39,0.00174,0.00174,0.00174
33,4718,1.11388,1.06874,1.39606,0.77983,0.74982,0.81100,0.55361,1.01513,0.83147,1.34295,0.00172,0.00172,0.00172
34,4860,1.114,1.069,1.396,0.7797,0.7498,0.8109,0.5535,1.016,0.832,1.343,0.0017,0.0017,0.0017
35,5003,1.114,1.069,1.396,0.7796,0.7497,0.8108,0.5534,1.017,0.832,1.343,0.00168,0.00168,0.00168
36,5146,1.115,1.070,1.397,0.7795,0.7496,0.8107,0.5533,1.018,0.833,1.344,0.00166,0.00166,0.00166
37,5289,1.115,1.071,1.397,0.7794,0.7495,0.8106,0.5532,1.019,0.833,1.344,0.00164,0.00164,0.00164
38,5432,1.116,1.072,1.398,0.7793,0.7494,0.8105,0.5531,1.020,0.834,1.345,0.00162,0.00162,0.00162
39,5575,1.116,1.073,1.398,0.7792,0.7493,0.8104,0.5530,1.021,0.834,1.345,0.0016,0.0016,0.0016
40,5718,1.117,1.074,1.399,0.7791,0.7492,0.8103,0.5529,1.022,0.835,1.346,0.00158,0.00158,0.00158
